#            id              z           maxz            snr         maxzsnr
#
           2129           1.28            -99          2.861            -99
           2135         0.9962         2.0762          84.13        5.05228
           2137           2.39            -99         0.2201            -99
           2140          2.962            -99          3.399            -99
           2141          0.284          0.424          19.66        5.43016
           2144         0.3772         0.4572          8.274        5.08382
           2147         0.4737            -99          4.506            -99
           2150          1.016            -99          4.837            -99
           2152          1.971            -99          3.511            -99
           2160          1.036            -99          4.183            -99
           2163         0.3196            -99          4.149            -99
           2175          3.239            -99          2.484            -99
           2181         0.7325            -99          1.201            -99
           2185          1.919            -99           4.01            -99
           2189         0.2778            -99         0.8992            -99
           2192         0.4842            -99      4.943e-05            -99
           2195         0.9252            -99         0.5306            -99
           2196          1.145            -99          2.173            -99
           2197          1.147            -99          1.018            -99
           2202          1.016          1.016          5.193        5.24618
           2229           1.01            -99          4.738            -99
           2231           2.08            -99      5.995e-05            -99
           2234         0.5072         0.5272          5.911        5.46397
           2239          0.247            -99          0.199            -99
           2252          1.792            -99           2.16            -99
           2256         0.2775         0.5175          82.04        5.02174
           2262         0.9436            -99         0.4046            -99
           2266         0.2712         0.4312          27.93         5.1402
           2268          1.751            -99          1.073            -99
           2272          1.948            -99          4.051            -99
           2290          0.981            -99          1.375            -99
           2295         0.2767         0.3167          9.347        5.51597
           2296          1.017            -99          4.943            -99
           2297         0.8042            -99          3.369            -99
           2314           1.09            -99          1.626            -99
           2318         0.9352            -99          3.725            -99
           2320          3.748          5.968          6.061        5.00238
           2323           2.23            -99          2.528            -99
           2324           2.29           4.11          29.12        5.01376
           2327         0.2733         0.2733          5.933        5.35443
           2328         0.4505         0.7305           33.2        5.29709
           2330          1.157            -99          1.653            -99
           2331          1.146            -99         0.8322            -99
           2336          1.013          1.373          11.25        5.07181
           2337          4.017            -99          3.394            -99
           2342         0.8392            -99          2.425            -99
           2347          1.009            -99          2.469            -99
           2357          2.103            -99          1.163            -99
           2359         0.3186            -99          4.207            -99
           2360          1.491          1.591          6.781        5.08715
           2365          1.492            -99          4.254            -99
           2369          2.816            -99         0.1252            -99
           2374           1.58            -99          3.399            -99
