#        cooFIR         snrFIR             id         snr100         snr160         snr250         snr350         snr500         snr1160
#
              1        5.98687            995        2.61352        3.77732        3.45717        1.67092            -99            -99
              1        5.44963           1002        4.84365        2.49751            -99            -99            -99            -99
              1        14.7148           1005        7.97674        11.0073        5.06716        1.72897        1.75245    4.80704e-10
              1          30.28           1006        18.6533        23.2288        5.00632        2.07207            -99            -99
              1        12.8782           1008        8.85171        8.57809        3.35247        1.63482            -99            -99
              0        2.18899           1023       0.651735        2.08972            -99            -99            -99            -99
              0         1.3205           1026    5.56747e-05         1.3205            -99            -99            -99            -99
              0      0.0238027           1035      0.0238027    3.12048e-05            -99            -99            -99            -99
              0       0.311469           1036       0.182058     1.3066e-05      0.0405366    4.50737e-08       0.249449    2.35489e-10
              1        5.22632           1037        3.20763        3.19054        2.61648            -99            -99            -99
              0        1.92419           1042        1.92419            -99            -99            -99            -99            -99
              0        3.70307           1053        3.55638       0.936054        0.23601       0.364625            -99    4.08516e-10
              0        2.12373           1058    5.16993e-05        2.12373            -99            -99            -99            -99
              0        3.79901           1064        3.03549        2.28436            -99            -99            -99            -99
              0        1.42518           1075       0.985259        1.02975            -99            -99            -99            -99
              1        5.97714           1076        5.19605        1.47072         1.2069         2.1373            -99         0.7346
              0        4.34394           1077        3.50228        2.15294         1.4031            -99            -99            -99
              0        2.18505           1081        1.55306        1.53702            -99            -99            -99            -99
              1        19.4596           1084        13.2988        11.8143        6.20072        3.58043        3.20117       0.851522
              0        2.54107           1089        1.54958        2.01391            -99            -99            -99            -99
              0       0.457818           1091       0.457818     3.1554e-05            -99            -99            -99            -99
              1         7.1185           1094         2.1892        3.05953        5.30832        2.55262            -99        1.35116
              0        1.10602           1101        1.10602    9.78638e-06            -99            -99            -99            -99
              1        8.59248           1102        8.51122        1.17891            -99            -99            -99            -99
              1        12.9757           1103        9.86128        8.24348        1.77998            -99            -99            -99
              1        7.61898           1104        7.12464        2.58563       0.776423            -99            -99            -99
              1        11.0353           1105        6.99233        7.43499        4.14964       0.621535            -99            -99
              1        7.59849           1109        4.04515        5.36892        2.38723        2.01462        1.67062    2.82568e-10
              0        3.02938           1113        1.83226        2.41246            -99            -99            -99            -99
              1         8.1337           1118        5.65081        5.28668        2.50531            -99            -99            -99
              0        2.51283           1121        2.43385       0.625066            -99            -99            -99            -99
              0    5.80967e-05           1123    5.49435e-05    1.88796e-05            -99            -99            -99    2.90191e-10
              0    3.21931e-05           1125    3.05849e-05     1.0048e-05            -99            -99            -99            -99
              0        3.88337           1129         2.2335         3.0945       0.577952       0.426751            -99    1.52579e-10
              0        2.08348           1133        2.07915       0.134243            -99            -99            -99            -99
              1        18.5774           1135        8.47563        15.7471        4.49443        2.26134            -99            -99
              0        1.80902           1140        1.80902     1.1303e-05            -99            -99            -99            -99
              0        3.41707           1141         2.5463        2.08727       0.914336            -99            -99            -99
              1        14.7149           1143        10.6791        9.32346        3.90181       0.579763            -99            -99
              0        1.08404           1144        1.08278      0.0521887            -99            -99            -99            -99
              0      0.0724899           1146      0.0697913    9.99318e-06      0.0195948    4.77247e-08    2.64791e-08    2.39649e-10
              1        5.17587           1147        4.88881        1.69975            -99            -99            -99            -99
              1         5.3349           1148        3.22727        1.97975        2.66386        1.78547        1.28987        1.47601
              1        5.60686           1150        4.70901        2.83432        1.10845            -99            -99            -99
              1        9.49066           1159        2.44245        4.28112        2.84422         5.7732        2.76932        4.08542
              0       0.388013           1160       0.388013    2.21953e-05            -99            -99            -99            -99
              0        3.50551           1167        1.91898        2.21063        1.72406       0.648989       0.570635    1.34216e-10
              1        8.92655           1168         5.2141        6.51319        2.73712       0.891566       0.666264        1.15937
              0        1.10121           1172        1.10121    1.71422e-05            -99            -99            -99            -99
              0    5.73072e-05           1181    5.38819e-05    1.95154e-05            -99            -99            -99            -99
              0        1.71304           1186        1.36905        1.02967    6.29586e-08            -99            -99            -99
              0        2.20583           1202        1.74078        1.35476            -99            -99            -99            -99
              0        3.85489           1208        2.67285        2.77778            -99            -99            -99            -99
              0        3.81605           1221        1.89712        3.05884        1.26753            -99            -99            -99
              0        1.32654           1222       0.817335        1.04483            -99            -99            -99            -99
              1        8.90439           1225        5.69065          4.496        3.70389        3.06823         1.8862            -99
              1        9.38469           1235        7.76544        5.26976    4.69495e-08    1.95491e-08            -99            -99
              1        25.5508           1239        19.1208        12.4907        9.83719        5.78275        1.00566            -99
              1         14.591           1248        9.17732         10.247        4.19304        2.43727       0.389773    2.41579e-10
              0    5.44075e-05           1252    5.44075e-05            -99            -99            -99            -99            -99
              0         1.6918           1253    5.42117e-05         1.6918            -99            -99            -99            -99
              0        2.77403           1262       0.507507    9.33758e-06        2.04568       0.815258       0.467679        1.53931
              1        6.03573           1269        3.56852        4.56516         1.5551    4.12349e-08    3.05709e-08       0.660801
              0        2.66654           1270        2.66654    2.54602e-05            -99            -99            -99            -99
              0       0.395772           1273              0       0.395772            -99            -99            -99            -99
              0        2.28287           1278        1.84646        1.34241            -99            -99            -99            -99
              1        5.87756           1284        1.07356        2.02627         2.4285        1.28205         3.1206        3.46527
              1        8.53854           1285         5.4773        3.64631        5.32406         1.1246            -99            -99
              1        8.77769           1293        5.88426        5.50584        3.27977        1.16285            -99            -99
              0         2.8129           1303        2.57381        1.13485            -99            -99            -99            -99
              0    5.87214e-05           1306    4.87536e-05    3.27305e-05            -99            -99            -99            -99
              0        2.98715           1313        1.33528        2.67209            -99            -99            -99            -99
              1        5.16514           1315        3.14171        3.73709        1.68598            -99            -99            -99
              0        4.14372           1320        4.04703       0.889955            -99            -99            -99            -99
              0        1.01561           1334       0.381952       0.941046            -99            -99            -99            -99
              0        4.58999           1335        4.42969        1.20245            -99            -99            -99            -99
              1        7.99198           1337        7.61423        1.97324         1.4148            -99            -99            -99
              1        8.24534           1338         2.9933        7.60348        1.10132            -99            -99            -99
              1        11.2743           1341        7.89763        7.11405        3.34896        1.70673            -99            -99
              0        2.19197           1342        2.19197            -99            -99            -99            -99            -99
              0        2.57601           1348        1.19597        2.28155            -99            -99            -99            -99
              0        2.78004           1350        1.74617        2.16322            -99            -99            -99            -99
              0        1.42025           1355       0.978149        1.02973            -99            -99            -99            -99
              0        2.98217           1357        2.71261        1.23898            -99            -99            -99            -99
              0        1.15639           1367              0        1.15639            -99            -99            -99            -99
              1        11.2357           1368        2.18289        5.77976        8.86993        2.94053            -99       0.864909
              1         5.5352           1369        1.89624        4.28682         2.9438            -99            -99            -99
              0        1.60671           1371        1.17367        1.09727            -99            -99            -99            -99
              1        6.81121           1384        3.50705        5.55896        1.13607       0.818949            -99        1.10894
              0        2.08731           1387        1.03911    3.98478e-06        1.43621       0.964736       0.157278       0.508906
              0         2.3816           1391        2.33159       0.485496            -99            -99            -99            -99
              0        4.07497           1393        2.08763        3.49954      0.0191469            -99            -99            -99
              1        12.6736           1394        10.0715        7.42215        2.02421    3.18601e-08            -99            -99
              0       0.857317           1396       0.839466       0.174035            -99            -99            -99            -99
              0    3.91786e-05           1401    3.69843e-05    1.29277e-05            -99            -99            -99            -99
              0        3.82297           1402        1.33474        2.07299         2.9217            -99            -99            -99
              0      0.0683976           1416      0.0683976            -99            -99            -99            -99            -99
              0        1.77478           1419        1.28505        1.22414            -99            -99            -99            -99
              1         5.2548           1420        2.87991        1.49873        3.80803        1.60365            -99    3.30489e-10
              1        9.34301           1434          8.008        4.49144        1.72936            -99            -99            -99
              0        1.23694           1437       0.770522       0.967635            -99            -99            -99            -99
              1        20.7009           1445        11.0887        12.2242        6.14873        9.89172        3.09348        3.30313
              1        5.84079           1449        5.07618        2.88916            -99            -99            -99            -99
              1        5.71652           1452       0.682724        5.65532    6.94589e-08       0.479423            -99            -99
              1        9.42714           1458         6.8691        3.78491        5.04026        1.39881            -99            -99
              0    3.21177e-05           1469    3.21177e-05            -99            -99            -99            -99            -99
              1        18.8199           1475        10.6308        10.9542         8.9368        5.79726        2.71334       0.584657
              0        4.49607           1476        1.43613        4.07471        1.24455            -99            -99            -99
              0       0.577372           1477       0.577372            -99            -99            -99            -99            -99
              0        1.46214           1479        1.46214    1.26162e-05            -99            -99            -99            -99
              0    3.37873e-05           1480     3.0924e-05    1.36119e-05            -99            -99            -99            -99
              1        6.94716           1490        4.18242        4.83719        2.02264        1.53788       0.944863       0.152197
              1        10.4904           1491        8.29114        5.56143        3.19504       0.409106            -99            -99
