#       id        snr16         snr24
#
      5346       48.575       125.39
      5347       54.732        36.35
      5348       38.538       115.11
      5350      0.88562       18.016
      5358       14.549       34.849
      5359       5.9293       7.8965
      5363      0.13366       9.9939
      5366     0.092096       8.3199
      5371       1.6212       9.0771
      5372       1.6386       5.4458
      5374       3.0251       4.4327
      5375       5.1116       17.638
      5382      0.17981       16.475
      5395       6.5279        33.36
      5402       2.1307       6.2912
      5411       1.9971       17.404
      5424       5.7195           17
      5426       6.6003        25.62
      5427       9.5901       12.443
      5435           -0       8.8511
      5438       16.605           44
      5446       4.4552       21.697
      5450           -0       5.3967
      5459      0.14385       7.8508
      5464     0.099622       6.3391
      5484        6.451       10.987
      5509       4.7522       4.7041
      5512       29.232        67.75
      5515       13.798       25.886
      5518           -0       13.993
      5520     0.080174      0.80604
      5523       1.9585       5.1246
      5526        31.47       51.292
      5529       2.1864       5.9802
      5530       10.023       53.908
      5531      0.10797       7.6711
      5537      0.70622       3.5947
      5543      0.36123      0.26096
      5545       14.873       30.871
      5552           -0       6.3112
      5588           -0       16.772
      5590      0.10312       9.5674
      5604       11.915       45.785
      5612       2.0827       5.7071
      5620       1.2087       5.4812
      5627       13.344       27.524
      5634           -0       10.131
      5647      0.20049       5.4411
      5650       8.1818       6.3194
      5655           -0       4.8329
      5664      0.14007     -0.27899
      5668           -0       5.3076
      5671       3.8157       15.377
      5672      0.27604       16.822
      5675       2.5561       36.455
      5682       3.0675       7.2196
      5685       5.2527       28.098
      5686       1.2444       3.7589
      5691       7.9054       18.777
      5692       9.2829       21.604
      5705       1.2684       11.826
      5710      0.12939       1.6744
      5712       13.849       15.977
      5726        1.114       26.014
      5730       31.721       135.02
      5735       11.204       15.361
      5744       0.6427       11.119
      5747       13.756       14.251
      5766       12.912       25.551
      5770       5.4866       10.031
      5779        30.63       15.312
      5789       2.1743       8.0927
      5797           -0        18.59
      5799       1.6784       5.2883
      5801      0.13649       6.8733
      5802       1.4369       21.932
      5805       10.244       5.9287
      5809       6.0937       7.9102
      5814       5.9049       28.013
      5816       3.7345       6.0643
      5822           -0       36.541
      5829       2.8076       1.7128
      5830     0.095459       5.5263
      5835       3.9403       5.8975
      5836     0.062818       29.642
      5837       17.712       21.515
      5841       1.7456       5.7426
      5847       1.6419       6.4637
      5849           -0       28.519
      5853       35.774        55.07
      5862       3.8129       7.2202
      5869      0.78527       5.9418
      5879       43.622       107.42
      5880       1.6297       6.4491
      5882       10.869       23.161
      5898        8.213       22.969
      5907       17.866       19.785
      5916      0.13448       7.0846
      5917       1.9597       21.051
      5921      0.10707       11.918
      5922       7.8882       11.989
      5925       5.8525       6.6673
      5941      0.11912       5.3779
      5966      0.11583       2.8635
      5969           -0       6.2042
      5974       13.131       30.819
      5976       5.2423       7.5849
      5977       3.6637       7.9252
      5982       0.1085       5.1815
