#        cooFIR         snrFIR             id         snr100          snr160
#
              0        1.18782           2412        0.94461       0.720153
              0        2.97789           2417        1.12434        2.75748
              0        4.50974           2418        2.12331         3.9786
              1        9.36005           2432        3.55906          8.657
              0        1.38719           2433         1.3858      0.0620366
              1        11.9212           2440        7.34554        9.38921
              0        4.63072           2449        3.41309         3.1296
              1        18.0483           2455        11.7104        13.7335
              1        53.6216           2463        40.1851        35.5026
              1        7.56589           2488         6.7603        3.39721
              1        7.51667           2489        4.93364        5.67094
              0        2.47475           2500        1.11984        2.20688
              0       0.834879           2509       0.341067       0.762035
              0      0.0479646           2510      0.0479646            -99
              1        7.22142           2513        5.26182        4.94593
              1        5.60943           2518        4.18274        3.73769
              0        1.93336           2524        1.93336    3.03206e-05
              1        12.2018           2525         8.8591         8.3905
              1        6.68154           2540        5.99064        2.95892
              0       0.980548           2543       0.980548              0
              0    5.10163e-05           2544    5.10163e-05            -99
              0    2.18839e-05           2552            -99    2.18839e-05
              0        3.22087           2561       0.599746        3.16454
              0        3.32814           2569        3.32814    1.44719e-05
              0        1.89554           2574    3.95483e-05        1.89554
              0        4.74315           2577         3.1201        3.57246
              0        1.22558           2578        0.26644        1.19626
              0        1.91452           2587       0.312365        1.88887
              0        1.39767           2588       0.565725        1.27806
              0        1.79646           2591        1.69415       0.597614
              1         5.0584           2592    4.96538e-05         5.0584
              1        9.08928           2594        7.28581        5.43434
              0        2.16594           2596        2.03445       0.743179
              0        2.72827           2605        1.67524        2.15337
              0    4.22116e-05           2608    4.02889e-05    1.25945e-05
              0        3.50815           2615        3.17358        1.49516
              0     5.8631e-05           2619      5.052e-05    2.97544e-05
              0        3.56846           2622        3.53262       0.504455
              1        13.7364           2625        9.59957        9.82532
              1        9.44234           2643        7.79386        5.33042
              0         2.6155           2648        2.32301        1.20186
              0       0.999724           2652       0.999724            -99
              0        0.06518           2655        0.06518    1.11653e-05
              0        1.11361           2660        1.11361    1.68991e-05
              0        3.33885           2667        3.24016       0.805757
              0        1.27177           2668       0.475621        1.17949
              1        5.62416           2670        3.11924         4.6799
              0        1.54652           2671         1.4611       0.506887
              0        1.00457           2674     5.2183e-05        1.00457
              0        1.41807           2677    4.87694e-05        1.41807
              0          0.157           2681         0.0547       0.147163
              0        4.32811           2682        2.57704        3.47727
              0        2.75659           2683        1.41868         2.3635
              0        3.78599           2687        3.53737        1.34933
              0        3.99471           2697        2.86974        2.77889
              0    3.62371e-05           2705    3.32891e-05    1.43164e-05
              0        4.66765           2715        2.65613        3.83822
              0     5.9858e-05           2716    5.42312e-05     2.5337e-05
              0        2.37635           2720        2.27919       0.672578
              0        1.54185           2722        0.46735        1.46932
              0        1.86604           2725        1.46788        1.15215
              1        19.2505           2728        13.7788        13.4435
              1        7.70627           2738        4.71505        6.09548
              1        7.60271           2739        6.17764        4.43147
              0        1.75303           2740        1.27542        1.20267
              0        1.72371           2741       0.970821        1.42432
              1        14.9947           2746        11.9515        9.05541
              0        1.82266           2758    5.19669e-05        1.82266
              0        4.77542           2767        4.03963        2.54677
              0        1.65696           2769              0        1.65696
              0        1.95158           2776        1.95158            -99
              0        1.16584           2778     4.8023e-05        1.16584
              0    4.34318e-05           2785    4.04295e-05    1.58675e-05
              0       0.609646           2794       0.609646    1.16999e-05
              0    6.10017e-05           2805    5.28421e-05    3.04782e-05
              1        5.20756           2806         3.3008        4.02784
              0        3.62095           2813        2.88023        2.19444
              1         13.048           2818        12.4783        3.81315
              0        3.92806           2822        2.40716        3.10407
              1        9.81937           2825         4.1687        8.89055
              0        1.69815           2831        1.66961       0.309975
              1        25.4828           2841        17.1957        18.8063
              0        3.51073           2856        3.24704        1.33489
              0        1.88422           2870        1.88422     1.7635e-05
              1        6.98853           2874        6.14568         3.3272
              0        3.73013           2877        1.72447        3.30759
              1        9.46533           2878        7.36631        5.94389
              0       0.142521           2880    5.57778e-05       0.142521
              0    4.76041e-05           2884    4.47548e-05    1.62222e-05
              0       0.990997           2888       0.638516       0.757873
