#   SAVEDid      xmeAGN       xfAGN       xeAGN      xmeSFR       xfSFR       xeSFR       xfTOT       xeTOT       xf_zz       xe_zz
#
1239       13.13       15.03       15.03       34.64       34.28       2.826       49.31       12.21       0.836           0
1248       5.978       24.85       24.85       72.38       80.08       33.69       96.79          49        1.24       0.202
1252           0       3.247       3.247       9.183       13.84       8.891       15.35       7.385        2.22        0.29
1253       4.345       3.777       3.777       28.61       31.15       8.757       35.77       6.811       1.847      0.0845
1262           0       9.398       9.398       496.3       531.3       55.78       535.2       53.56       3.796      0.2305
1269           0        35.2        35.2       156.2       154.8       65.82       174.9       84.15        2.21       0.289
1270      0.6081      0.7997      0.7997       6.098       6.409       2.114       7.243       1.455       1.083           0
1273           0      0.2852      0.2852       3.034       2.383      0.8701       2.672      0.5891      0.7441           0
1278       2.479       3.518       3.518       11.25       16.83       8.443       18.38       7.819        1.54       0.183
1284       3.584       1.965       1.965       405.4       360.9       69.42       362.8       70.24       3.611        0.37
1285      0.1703      0.1203      0.1203      0.4256      0.2836      0.1498      0.3971      0.2606      0.1965        0.05
1293       2.152       2.147       2.147       9.214       9.031      0.8282       11.11       1.751      0.7939           0
1303      0.1504       0.122       0.122       1.807       1.771      0.6099       1.854      0.5704      0.6335           0
1306   8.494e-08   0.0002557   0.0002557   1.563e-06    0.006015    0.006014    0.006015    0.006014       0.041        0.04
1313      0.4151      0.3076      0.2396       1.658       1.428       1.068       1.627       1.063      0.4067        0.08
1315           0       7.274       7.274        30.1       43.65          19       48.56       18.47       1.711      0.1985
1320      0.1952       1.154       1.154        14.8        15.9       7.604          16       7.502       1.137      0.1898
1334           0      0.4593      0.4593       7.495       14.57       10.88       14.89       10.55        1.68       0.241
1335       1.531       1.504       1.504       12.11       10.98        4.83       12.19       5.361       1.028      0.1699
1337       12.12       8.531       8.531       9.543       17.09       7.544       22.92       10.52       0.931      0.1201
1338           0       4.683       4.683       38.91       35.52       3.388       38.64       5.717       1.358           0
1341       1.608       2.266       2.266       22.07       21.38       2.178       23.32       3.212       1.008           0
1342           0   0.0002752   0.0002752   1.538e-06    0.004499    0.004498    0.004499    0.004498       0.041        0.04
1348     0.08931     0.08837     0.08837      0.7568      0.8037      0.5171      0.9122      0.4857      0.5233        0.04
1350           0       2.052       2.052       21.15       15.53       9.339       15.75       9.119       1.156      0.1902
1355           0       2.342       2.342         8.9       12.55       8.608       13.27       7.968       1.192        0.19
1357           0       1.102       1.102       12.88       12.82       3.945       13.78       2.985       1.365           0
1367           0      0.6618      0.6618        17.8       14.92       2.878       15.39       2.409       1.787           0
1368           0       39.67       39.67       158.6       182.1       63.39         194       74.94        2.54       0.319
1369       15.55       38.63       38.63        72.3       75.02       30.21       90.81       44.01        2.11        0.28
1371           0      0.4468      0.4468        5.65       4.709      0.9409       5.156      0.4941       1.037           0
1384           0       14.71       14.71       42.46       58.63       30.09       66.35       37.54        1.32       0.209
1387           0       32.16       32.16       248.7         227       217.7       227.4       217.3       1.901         1.2
1391      0.5158      0.4183      0.4183       6.606       5.764       2.578       6.055       2.316       1.038           0
1393           0      0.6227      0.6227        20.2       18.48       11.11       19.08        11.7        1.21        0.19
1394           0      0.2506      0.2506       4.119       4.045     0.07418       4.263      0.2759      0.2995           0
1396      0.2043      0.3795      0.3795       2.192        1.89       1.353       2.031       1.243      0.7152        0.15
1401       6.127       5.088       1.039       34.17       24.58       19.23        29.7       18.56       2.072      0.0795
1402       3.937       2.142       2.142       75.57       56.36       28.97       57.11       28.22       1.853       0.243
1416      0.1009       3.046       3.046       21.12       19.92       8.401       22.97       5.355       2.291           0
1419           0      0.6119      0.6119       8.516       8.349       2.321       8.961       1.709       1.148           0
1420           0       8.243       8.243       85.87        65.2       37.16       67.12       38.64        1.54       0.229
