#        _id   snrFIRSMM     zFIRSMM      snr100      snr160      snr250      snr350      snr500      snr850     snr1160
#
        1320       4.144       1.137       4.047        0.89         -99         -99         -99      1e-109         -99
        1334       1.016        1.68       0.382       0.941         -99         -99         -99      1e-109         -99
        1335        4.59       1.028        4.43       1.202         -99         -99         -99      1e-109         -99
        1337       7.992       0.931       7.614       1.973       1.415         -99         -99      1e-109         -99
        1338       8.245       1.358       2.993       7.603       1.101         -99         -99      1e-109         -99
        1341       11.27       1.008       7.898       7.114       3.349       1.707         -99      1e-109         -99
        1342       2.192       0.041       2.192         -99         -99         -99         -99      1e-109         -99
        1348       2.576      0.5233       1.196       2.282         -99         -99         -99      1e-109         -99
        1350        2.78       1.156       1.746       2.163         -99         -99         -99      1e-109         -99
        1355        1.42       1.192      0.9781        1.03         -99         -99         -99      1e-109         -99
        1357       2.982       1.365       2.713       1.239         -99         -99         -99      1e-109         -99
        1367       1.156       1.787           0       1.156         -99         -99         -99      1e-109         -99
        1368       11.65        2.54       2.183        5.78        8.87       2.941         -99       3.084      0.8649
        1369        5.62        2.11       1.896       4.287       2.944         -99         -99      0.9739         -99
        1371       1.607       1.037       1.174       1.097         -99         -99         -99      1e-109         -99
        1384       6.811        1.32       3.507       5.559       1.136      0.8189         -99   8.675e-51       1.109
        1387       2.087       1.901       1.039   3.985e-06       1.436      0.9647      0.1573   8.675e-51      0.5089
        1391       2.382       1.038       2.332      0.4855         -99         -99         -99      1e-109         -99
        1393       4.075        1.21       2.088         3.5     0.01915         -99         -99      1e-109         -99
        1394       12.67      0.2995       10.07       7.422       2.024   3.186e-08         -99      1e-109         -99
        1396      0.8573      0.7152      0.8395       0.174         -99         -99         -99      1e-109         -99
        1401   3.918e-05       2.072   3.698e-05   1.293e-05         -99         -99         -99      1e-109         -99
        1402       3.823       1.853       1.335       2.073       2.922         -99         -99      1e-109         -99
        1416      0.0684       2.291      0.0684         -99         -99         -99         -99      1e-109         -99
        1419       1.775       1.148       1.285       1.224         -99         -99         -99      1e-109         -99
        1420       5.255        1.54        2.88       1.499       3.808       1.604         -99   8.675e-51   3.305e-10
