#   SAVEDid        xf70        xe70       xf100       xe100       xf160       xe160       xf250       xe250       xf350       xe350       xf500       xe500       xf850       xe850      xf1160      xe1160      xf1200      xe1200      xf1250      xe1250      xf2000      xe2000      xf2050      xe2050       xfRad       xeRad
#
409      0.7086      0.3654       1.444      0.6487        2.19      0.5835       1.641       0.322      0.9563      0.2617      0.4149      0.1431     0.08662     0.03428     0.03277     0.01345     0.02945     0.01112     0.02589     0.00863    0.005769    0.002429    0.005331    0.002243    0.006449     0.00229
413      0.3738      0.1375      0.7954      0.2636        1.38       0.272       1.152      0.3462       0.655      0.2421      0.2844      0.1275      0.0598     0.02949      0.0227     0.01145     0.02041    0.009735     0.01794     0.00789    0.004006    0.002052    0.003702    0.001894    0.003595    0.000831
414      0.4672      0.0981       1.119      0.2096       1.857      0.4605       1.588       0.471      0.9882      0.3478      0.4321      0.1655     0.08739     0.03601     0.03176     0.01316     0.02843      0.0108     0.02487     0.00828    0.005386    0.002227    0.004969    0.002062    0.005684     0.00145
416      0.6002      0.3475        0.93      0.3971       1.332      0.7007       1.049      0.6878      0.5694      0.4152      0.2275      0.1766     0.04674     0.03771     0.01774     0.01445     0.01594     0.01283     0.01401     0.01108    0.003127    0.002531    0.002893    0.002337    0.003155    0.001435
418      0.1996     0.04945      0.5491      0.1891       1.254      0.3883       1.476      0.5419       1.141      0.4803      0.5708      0.2618      0.1309      0.0647     0.04911     0.02481     0.04406     0.02103     0.03866     0.01699    0.008543    0.004377    0.007888    0.004042     0.00394    0.001334
421      0.1965        0.07      0.4491      0.1983      0.9351      0.3649       1.171      0.5421      0.9204      0.5147      0.4768      0.3016      0.1136     0.07886     0.04324     0.03052     0.03884     0.02678     0.03412     0.02277     0.00761     0.00543    0.007021    0.005028    0.002987    0.001386
428      0.1341     0.05299      0.3724       0.224      0.8697      0.5453       1.107      0.7397      0.9083      0.6538      0.4761      0.3648      0.1143     0.09192     0.04329     0.03511     0.03887     0.03111     0.03413     0.02683    0.007567    0.006163    0.006987    0.005693    0.002823    0.001908
429      0.2858      0.2064      0.6033      0.4657      0.9321       0.652       0.868       0.581      0.5717      0.3882      0.2576      0.1773     0.05748     0.04172     0.02156      0.0158     0.01935     0.01389     0.01697     0.01184    0.003746    0.002774    0.003461    0.002561     0.00281    0.002067
430      0.1715     0.03845      0.4624      0.1339       1.024       0.209       1.225      0.2035      0.9221      0.1549      0.4407      0.0882     0.09662     0.02228     0.03599    0.008675     0.03228    0.006385     0.02831     0.00393    0.006233    0.001555    0.005756    0.001436    0.003193     0.00063
431      0.4259      0.1436      0.9233      0.2958       1.485      0.3915       1.302      0.3964      0.7592      0.2658      0.3244      0.1259     0.06713      0.0286     0.02536     0.01112     0.02278    0.009285     0.02003    0.007315     0.00445    0.001991    0.004112    0.001839    0.004082    0.001165
432      0.4768      0.3521      0.8165      0.5875        1.05      0.6258      0.8492      0.4439      0.5392      0.2972       0.238      0.1514     0.05035     0.03471     0.01912     0.01345     0.01718     0.01182     0.01511     0.01006    0.003383    0.002405    0.003127    0.002219    0.003185    0.002079
433      0.3777      0.3202      0.5846      0.4504      0.7173      0.5127       0.759       0.689      0.8095      0.7845      0.6309      0.6231      0.2236      0.2222      0.0943      0.0938     0.08503     0.08455       0.075     0.07455     0.01683     0.01671     0.01554     0.01543    0.002781    0.001412
437      0.1668      0.0674      0.3739      0.1633       1.292      0.5341       2.029      0.9335       2.291       1.221       1.821        1.06      0.6401      0.3979      0.2719      0.1746      0.2451      0.1528      0.2162      0.1292     0.04835     0.03161     0.04463     0.02919    0.006194    0.002874
438       2.443       0.326       5.952       0.209       9.991       0.189       8.848      0.8025        5.72      0.9845       2.571      0.5745       0.538      0.1489      0.1968     0.05575      0.1761     0.04255      0.1542      0.0285     0.03353     0.00951     0.03093     0.00882     0.02889     0.00247
439       0.813      0.1024       1.304       0.152       2.267      0.3705       2.941       0.656       2.462      0.8105       1.341      0.5589      0.3355      0.1648      0.1284     0.06529      0.1154     0.05554      0.1014     0.04508     0.02266     0.01179     0.02094      0.0109    0.007118    0.001328
442       1.246      0.3879       2.659      0.2785       6.158       0.412       7.302       1.569       5.537       1.835       2.779       1.098      0.6404      0.2907      0.2427      0.1125      0.2179      0.0945      0.1915      0.0752     0.04265     0.02006     0.03939     0.01854     0.01903     0.00287
449       2.966      0.2675       6.164       0.045       8.822       0.156       5.524       0.178       2.715      0.1085       1.027     0.04405      0.2085     0.00935     0.07866      0.0036     0.07054    -0.00061      0.0619    -0.00513     0.01379     0.00064     0.01276     0.00059      0.0164    0.000425
450         0.2       0.029      0.3861      0.0519       1.135      0.2937       3.472      0.5265       5.191      0.4865       5.576       0.159       3.166       0.344        1.57       0.224        1.44       0.153       1.295       0.073      0.3167     0.05915      0.2926      0.0548     0.01273     0.00078
451      0.1576     0.05155       0.349      0.1501      0.6753      0.2463       0.698      0.2352      0.4571       0.148      0.2176     0.07305     0.04796     0.01709     0.01817    0.006655     0.01632    0.005405     0.01433     0.00406    0.003189    0.001218    0.002943    0.001128     0.00193    0.000746
468      0.2083     0.07065      0.4021       0.126       1.127      0.3579       3.552       0.535       5.408       0.356       5.861      0.2955       3.374       0.573       1.696      0.3615       1.557      0.2815       1.402       0.191      0.3466     0.09235      0.3203     0.08555     0.01342     0.00059
481       0.805      0.5441       1.018      0.6112      0.8015      0.3655      0.3439      0.1229      0.1461     0.05954     0.05265     0.02483      0.0103    0.005397    0.003842    0.002064    0.003414    0.001739    0.002998    0.001419   0.0006864   0.0003426   0.0006378   0.0003145    0.003354    0.002358
482      0.1242     0.05642      0.2698      0.0856      0.6933      0.4068       1.171      0.8713       1.236      0.9868      0.9284      0.7687      0.2986      0.2553        0.12      0.1034      0.1079     0.09224     0.09495     0.08019     0.02094     0.01811     0.01933     0.01672    0.003207    0.002471
490      0.2174      0.0804      0.4997      0.2323       1.066      0.5054       1.242      0.6487      0.9211       0.547      0.4522      0.2829      0.1012     0.06735     0.03796     0.02551     0.03406     0.02226      0.0299     0.01878     0.00661     0.00447    0.006104    0.004126     0.00324    0.001737
498       0.468      0.0744      0.8772      0.1449       2.106      0.3435       5.114      0.5025        7.09      0.3235       7.175      0.4715       3.917      0.7135       1.941        0.44        1.78       0.346       1.601      0.2405      0.3931      0.1108      0.3634      0.1027     0.01607    0.001125
