#           _id          snr24        snr20cm         snr100         snr160         snr250         snr350         snr500        snr1160          snrIR         snrIRMM
#
           1089        21.0756        2.49584        1.54958        2.01391            -99            -99            -99            -99        2.54107        21.3744
           1091        5.52467       0.585144       0.457818     3.1554e-05            -99            -99            -99            -99       0.457818         5.5744
           1094         22.418        4.61219         2.1892        3.05953        5.30832        2.55262            -99        1.35116         7.1185        24.3646
           1101        7.74982        2.06538        1.10602    9.78638e-06            -99            -99            -99            -99        1.10602        8.09622
           1102        26.3342        3.78476        8.51122        1.17891            -99            -99            -99            -99        8.59248        29.0493
           1103        22.8293        4.48374        9.86128        8.24348        1.77998            -99            -99            -99        12.9757        30.9031
           1104        18.3523        2.35905        7.12464        2.58563       0.776423            -99            -99            -99        7.61898        20.2072
           1105         18.689        4.30496        6.99233        7.43499        4.14964       0.621535            -99            -99        11.0353        23.0579
           1109        14.8885        2.03055        4.04515        5.36892        2.38723        2.01462        1.67062    2.82568e-10        7.59849        16.8383
           1113        11.5371        1.57382        1.83226        2.41246            -99            -99            -99            -99        3.02938        14.2109
           1118        8.95237        1.81354        5.65081        5.28668        2.50531            -99            -99            -99         8.1337        12.2307
           1121        6.48433        52.4737        2.43385       0.625066            -99            -99            -99            -99        2.51283        52.9839
           1123        8.43866       0.982493    5.49435e-05    1.88796e-05            -99            -99            -99    2.90191e-10    5.80967e-05        8.55634
           1125        6.95896         1.5687    3.05849e-05     1.0048e-05            -99            -99            -99            -99    3.21931e-05        7.13358
           1129        5.53078        2.27047         2.2335         3.0945       0.577952       0.426751            -99    1.52579e-10        3.88337        7.12918
           1133        5.35811       0.645028        2.07915       0.134243            -99            -99            -99            -99        2.08348        5.97388
           1135        21.6845        8.46875        8.47563        15.7471        4.49443        2.26134            -99            -99        18.5774        30.8578
           1140        9.72217              0        1.80902     1.1303e-05            -99            -99            -99            -99        1.80902        9.88904
           1141        20.5151        3.61269         2.5463        2.08727       0.914336            -99            -99            -99        3.41707        21.1092
           1143         29.808        1.37445        10.6791        9.32346        3.90181       0.579763            -99            -99        14.7149        41.0077
           1144             10              0        1.08278      0.0521887            -99            -99            -99            -99        1.08404        10.4429
           1146       0.329084        3.50724      0.0697913    9.99318e-06      0.0195948    4.77247e-08    2.64791e-08    2.39649e-10      0.0724899        3.52339
           1147         19.036        1.02298        4.88881        1.69975            -99            -99            -99            -99        5.17587        20.0289
           1148        23.3237        4.64106        3.22727        1.97975        2.66386        1.78547        1.28987        1.47601         5.3349        24.4063
           1150        20.9993        3.48174        4.70901        2.83432        1.10845            -99            -99            -99        5.60686        24.9479
           1159        31.1108        6.62903        2.44245        4.28112        2.84422         5.7732        2.76932        4.08542        9.49066        33.1948
           1160        18.3474      0.0896253       0.388013    2.21953e-05            -99            -99            -99            -99       0.388013        18.3569
           1167        2.48242         4.2623        1.91898        2.21063        1.72406       0.648989       0.570635    1.34216e-10        3.50551        6.11788
           1168        23.6088        5.43103         5.2141        6.51319        2.73712       0.891566       0.666264        1.15937        8.92655        26.4159
           1172        3.75696      0.0644667        1.10121    1.71422e-05            -99            -99            -99            -99        1.10121        3.91555
           1181        8.76579       0.904255    5.38819e-05    1.95154e-05            -99            -99            -99            -99    5.73072e-05        8.81231
           1186        12.8412        2.07247        1.36905        1.02967    6.29586e-08            -99            -99            -99        1.71304        13.1196
           1202        3.96017              0        1.74078        1.35476            -99            -99            -99            -99        2.20583        5.10671
           1208        4.57201       0.403106        2.67285        2.77778            -99            -99            -99            -99        3.85489        6.12513
           1221        27.2765         2.0501        1.89712        3.05884        1.26753            -99            -99            -99        3.81605        29.6966
